"";"Region";"ProduitsFrais";"Lait";"Epicerie";"Surgele";"Detergents";"Traiteur";"Total";"% ProduitsFrais";"% Lait";"% Epicerie";"% Surgele";"% Detergents";"% Traiteur"
"381";3;28257;944;2146;3881;600;270;36098;78;3;6;11;2;1
"382";3;17770;4591;1617;9927;246;532;34683;51;13;5;29;1;2
"383";3;34454;7435;8469;2540;1711;2893;57502;60;13;15;4;3;5
"384";3;1821;1364;3450;4006;397;361;11399;16;12;30;35;3;3
"385";3;10683;21858;15400;3635;282;5120;56978;19;38;27;6;0;9
"386";3;11635;922;1614;2583;192;1068;18014;65;5;9;14;1;6
"387";3;1206;3620;2857;1945;353;967;10948;11;33;26;18;3;9
"388";3;20918;1916;1573;1960;231;961;27559;76;7;6;7;1;3
"389";3;9785;848;1172;1677;200;406;14088;69;6;8;12;1;3
"390";3;9385;1530;1422;3019;227;684;16267;58;9;9;19;1;4
"391";3;3352;1181;1328;5502;311;1000;12674;26;9;10;43;2;8
"392";3;2647;2761;2313;907;95;1827;10550;25;26;22;9;1;17
"393";3;518;4180;3600;659;122;654;9733;5;43;37;7;1;7
"394";3;23632;6730;3842;8620;385;819;44028;54;15;9;20;1;2
"395";3;12377;865;3204;1398;149;452;18445;67;5;17;8;1;2
"396";3;9602;1316;1263;2921;841;290;16233;59;8;8;18;5;2
"397";3;4515;11991;9345;2644;3378;2213;34086;13;35;27;8;10;6
"398";3;11535;1666;1428;6838;64;743;22274;52;7;6;31;0;3
"399";3;11442;1032;582;5390;74;247;18767;61;5;3;29;0;1
"400";3;9612;577;935;1601;469;375;13569;71;4;7;12;3;3
"401";3;4446;906;1238;3576;153;1014;11333;39;8;11;32;1;9
"402";3;27167;2801;2128;13223;92;1902;47313;57;6;4;28;0;4
"403";3;26539;4753;5091;220;10;340;36953;72;13;14;1;0;1
"404";3;25606;11006;4604;127;632;288;42263;61;26;11;0;1;1
"405";3;18073;4613;3444;4324;914;715;32083;56;14;11;13;3;2
"406";3;6884;1046;1167;2069;593;378;12137;57;9;10;17;5;3
"407";3;25066;5010;5026;9806;1092;960;46960;53;11;11;21;2;2
"408";3;7362;12844;18683;2854;7883;553;50179;15;26;37;6;16;1
"409";3;8257;3880;6407;1646;2730;344;23264;35;17;28;7;12;1
"410";3;8708;3634;6100;2349;2123;5137;28051;31;13;22;8;8;18
"411";3;6633;2096;4563;1389;1860;1892;18433;36;11;25;8;10;10
"412";3;2126;3289;3281;1535;235;4365;14831;14;22;22;10;2;29
"413";3;97;3605;12400;98;2970;62;19232;1;19;64;1;15;0
"414";3;4983;4859;6633;17866;912;2435;37688;13;13;18;47;2;6
"415";3;5969;1990;3417;5679;1135;290;18480;32;11;18;31;6;2
"416";3;7842;6046;8552;1691;3540;1874;29545;27;20;29;6;12;6
"417";3;4389;10940;10908;848;6728;993;34806;13;31;31;2;19;3
"418";3;5065;5499;11055;364;3485;1063;26531;19;21;42;1;13;4
"419";3;660;8494;18622;133;6740;776;35425;2;24;53;0;19;2
"420";3;8861;3783;2223;633;1580;1521;18601;48;20;12;3;8;8
"421";3;4456;5266;13227;25;6818;1393;31185;14;17;42;0;22;4
"422";3;17063;4847;9053;1031;3415;1784;37193;46;13;24;3;9;5
"423";3;26400;1377;4172;830;948;1218;34945;76;4;12;2;3;3
"424";3;17565;3686;4657;1059;1803;668;29438;60;13;16;4;6;2
"425";3;16980;2884;12232;874;3213;249;36432;47;8;34;2;9;1
"426";3;11243;2408;2593;15348;108;1886;33586;33;7;8;46;0;6
"427";3;13134;9347;14316;3141;5079;1894;46911;28;20;31;7;11;4
"428";3;31012;16687;5429;15082;439;1163;69812;44;24;8;22;1;2
"429";3;3047;5970;4910;2198;850;317;17292;18;35;28;13;5;2
"430";3;8607;1750;3580;47;84;2501;16569;52;11;22;0;1;15
"431";3;3097;4230;16483;575;241;2080;26706;12;16;62;2;1;8
"432";3;8533;5506;5160;13486;1377;1498;35560;24;15;15;38;4;4
"433";3;21117;1162;4754;269;1328;395;29025;73;4;16;1;5;1
"434";3;1982;3218;1493;1541;356;1449;10039;20;32;15;15;4;14
"435";3;16731;3922;7994;688;2371;838;32544;51;12;25;2;7;3
"436";3;29703;12051;16027;13135;182;2204;73302;41;16;22;18;0;3
"437";3;39228;1431;764;4510;93;2346;48372;81;3;2;9;0;5
"438";3;14531;15488;30243;437;14841;1867;77407;19;20;39;1;19;2
"439";3;10290;1981;2232;1038;168;2125;17834;58;11;13;6;1;12
"440";3;2787;1698;2510;65;477;52;7589;37;22;33;1;6;1
